#{"t_start": 1779730887.9410937, "env_id": "None"}
r,l,t
-25.675,145,0.744423
-30.95,500,1.786555
-28.58,500,2.806984
-26.39,162,3.129954
-26.66,158,3.448015
-40.19,318,4.068433
-29.595,500,9.78318
-30.89,500,11.022092
-30.62,500,12.121898
-25.295,171,12.52561
-32.13,500,13.9344
-30.425,500,19.51421
-30.415,500,20.391969
-35.985,311,21.575625
-31.24,500,22.979599
-30.055,500,26.783749
-32.215,500,27.70259
-24.22,142,27.947153
-31.215,500,28.643839
-29.39,500,29.300615
-31.495,500,35.11149
-29.195,500,36.371596
-29.165,500,37.552898
-29.325,500,39.37027
-30.465,500,45.182568
-28.175,500,46.203954
-29.455,500,47.19624
-29.745,500,48.236494
-28.715,500,53.543671
-29.16,500,54.558937
-28.09,500,55.601221
-29.155,500,57.256946
-26.195,500,59.624566
-27.535,500,60.186118
-29.67,500,60.822083
-28.24,500,61.49777
-25.535,500,63.393615
-28.13,500,64.011305
-24.4,500,64.862575
-27.96,500,65.540614
-28.67,500,66.23141
-20.63,110,67.637441
-27.705,500,68.282573
-24.28,500,68.874811
-26.57,500,69.493365
-25.635,198,69.707001
-25.835,500,72.666005
-25.2,500,73.242923
-29.85,500,74.024603
-26.78,500,74.869658
-24.195,500,76.927869
-23.675,500,77.537971
-26.615,500,78.187904
-26.5,500,78.819868
-25.735,500,80.769255
-24.36,500,81.304261
-21.7,124,81.462718
-26.525,500,82.063897
-24.725,500,82.721143
-39.4,468,84.66074
-24.235,500,85.240128
-25.52,500,85.875931
-20.385,110,85.988207
-28.045,247,86.338379
-19.85,80,86.472285
-21.565,500,88.780411
-22.025,500,89.496031
-19.725,500,90.20542
-22.02,500,90.875961
-20.045,71,90.961574
-21.4,500,93.254485
-16.995,500,93.866726
-20.3,500,94.479385
-23.805,500,95.132154
-27.315,234,95.47125
-22.48,500,97.586401
-22.565,500,98.298979
-22.605,500,98.997508
-24.145,500,99.656085
-26.505,500,101.341409
-14.77,500,101.97742
-19.07,500,102.595435
-24.375,500,103.331656
-18.51,500,105.221934
-17.995,500,105.81922
-37.96,433,106.412576
-23.065,500,107.092406
-23.165,500,108.985387
-40.28,469,109.470991
-20.095,500,110.029172
-23.695,192,110.229931
-16.395,500,110.797716
-18.145,500,115.020557
-18.125,500,116.040821
-18.9,500,116.562636
-19.905,500,117.083114
-18.275,500,118.816783
-15.66,500,119.299608
-17.86,500,119.795143
-21.305,500,120.289006
-14.805,500,122.062726
-28.835,282,122.353016
-18.375,500,122.812461
-17.185,500,123.296411
-15.555,500,123.778658
-20.15,500,125.551339
-21.965,500,126.047257
-17.745,500,126.532691
-20.24,500,127.015764
-14.165,500,128.73858
-17.075,500,129.273289
-13.91,500,129.972367
-20.575,500,130.785451
