episode,reward,length
1,-44.575,440
2,-26.06,164
3,-24.205,128
4,-22.845,121
5,-22.4,96
6,-32.160000000000004,500
7,-28.595000000000002,196
8,-30.2,500
9,-43.035,379
10,-30.725,226
11,-30.95,237
12,-31.09,500
13,-28.745,204
14,-25.865000000000002,131
15,-23.125,116
16,-32.105000000000004,500
17,-24.595000000000002,126
18,-36.69,314
19,-27.38,500
20,-27.494999999999997,218
21,-40.79,409
22,-20.82,89
23,-31.405,232
24,-26.404999999999998,189
25,-20.23,134
26,-21.090000000000003,63
27,-23.799999999999997,153
28,-20.090000000000003,48
29,-20.53,85
30,-23.895,129
31,-24.134999999999998,137
32,-24.735,175
33,-44.28,461
34,-25.46,165
35,-23.97,137
36,-22.575000000000003,77
37,-20.655,74
38,-23.65,160
39,-21.825,97
40,-25.485000000000003,149
41,-26.915000000000003,158
42,-19.605,71
43,-20.974999999999998,125
44,-21.05,86
45,-21.245,105
46,-19.715,53
47,-21.47,96
48,-19.84,98
49,-20.025000000000002,52
50,-26.895,180
51,-25.500000000000004,129
52,-22.724999999999998,107
53,-19.04,78
54,-26.31,161
55,-21.585,126
56,-28.05,201
57,-24.755000000000003,149
58,-34.55,269
59,-21.105,94
60,-26.72,173
61,-23.16,135
62,-23.075,123
63,-21.794999999999998,123
64,-20.02,68
65,-21.105,56
66,-19.67,29
67,-19.745,68
68,-29.625,500
69,-21.680000000000003,69
70,-20.154999999999998,41
71,-24.52,153
72,-23.32,154
73,-20.97,135
74,-19.259999999999998,28
75,-21.395,92
76,-21.25,106
77,-18.915,90
78,-21.235,79
79,-22.65,109
80,-20.13,56
81,-23.009999999999998,137
82,-24.494999999999997,137
83,-23.959999999999997,138
84,-28.795,197
85,-18.799999999999997,53
86,-25.82,118
87,-19.36,86
88,-22.585,133
89,-21.085,89
90,-21.165,118
91,-20.385,114
92,-17.659999999999997,71
93,-25.695,163
94,-22.375,110
95,-21.214999999999996,178
96,-21.77,87
97,-23.28,99
98,-22.044999999999998,110
99,-21.049999999999997,78
100,-20.130000000000003,46
101,-20.185,75
102,-19.335,175
103,-18.849999999999998,97
104,-25.03,172
105,-18.439999999999998,135
106,-27.53,500
107,-19.695,82
108,-35.405,311
109,-23.099999999999998,130
110,-21.645000000000003,72
111,-20.209999999999997,120
112,-17.819999999999997,81
113,-37.339999999999996,350
114,-19.325,39
115,-19.765,92
116,-21.455,101
117,25.72,146
118,-23.3,108
119,-19.564999999999998,59
120,-29.665,204
121,-21.825,98
122,-16.775000000000002,131
123,-18.174999999999997,34
124,-19.589999999999996,116
125,-25.865,144
126,-19.32,71
127,-19.899999999999995,121
128,-20.009999999999998,40
129,-19.429999999999996,104
130,-19.505000000000003,173
131,-19.294999999999995,134
132,-18.904999999999998,44
133,-22.24,128
134,-18.939999999999998,46
135,-18.439999999999998,71
136,-26.955,202
137,24.764999999999997,186
138,-24.319999999999997,184
139,-21.975,139
140,23.24,204
141,-18.49,40
142,25.13,167
143,-17.055,36
144,-19.715,65
145,-21.435,115
146,-22.97,136
147,-18.830000000000002,82
148,-20.99,123
149,24.325,179
150,-23.27,126
151,21.499999999999996,246
152,-17.025,59
153,-20.035,88
154,-18.854999999999997,106
155,-19.79,72
156,-20.625,94
157,-20.065,68
158,-19.490000000000002,67
159,-21.415,93
160,-18.709999999999997,34
161,-18.655,135
162,-21.615000000000002,110
163,-20.990000000000002,68
164,24.929999999999996,199
165,-15.94,103
166,-15.645000000000005,137
167,-18.625,37
168,-21.729999999999997,112
169,-17.735,40
170,-21.145,100
171,-17.110000000000003,167
172,24.174999999999997,208
173,-20.595,100
174,-16.470000000000002,125
175,-18.99,42
176,-14.265000000000006,135
177,-19.63,77
178,-15.735000000000003,96
179,-20.834999999999997,142
180,-33.89,273
181,-18.875,61
182,-20.4,104
183,-16.725,106
184,-21.74,158
185,-20.779999999999998,103
186,-22.57,118
187,-18.59,28
188,-16.17,129
189,-16.795000000000005,144
190,-18.68,73
191,-22.939999999999998,161
192,24.259999999999998,160
193,-25.369999999999997,217
194,-19.509999999999998,67
195,-18.265,36
196,-19.95,87
197,-18.119999999999997,40
198,-13.310000000000006,95
199,-14.530000000000005,102
200,-26.475,500
201,-21.17,206
202,-18.22,48
203,24.955,155
204,-20.259999999999998,79
205,-19.075,61
206,-17.924999999999997,112
207,-24.974999999999998,197
208,-20.709999999999997,87
209,-17.36,49
210,-18.299999999999997,30
211,25.154999999999998,139
212,-18.35,89
213,23.669999999999998,218
214,-18.74,36
